name,name_location,link,price,price_per_sqft,area,area_type,bedroom,bathroom,description,super_builtup,built_up,carpet_area,config_bedroom,config_bathroom,balcony,additional_rooms,price_text,floor,facing,overlooking,age,address,society,furnish_type,property_id,nearby_locations,furnish_details,features,rating,rating_list,status,Unnamed: 0
Indiabulls Blu,"3 BHK House for sale in Worli, Mumbai",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-indiabulls-blu-worli-south-mumbai-1780-sq-ft-spid-I81686612,₹10 Cr,"₹56,179 /sqft","1,780 sqft",Super Built-up Area,3 BHK,3  Baths,"This unique development is in a vibrant location of worli, with spectacular views of the arabian sea. It is set in 10 acres and is the last time a development of this size will be created in south mumbai. It is the most privileged residential development in mumbai. This unique development is in a vibrant location of worli, with a brilliant view of the arabian sea. It has a wide spread of five a...",1780.0,1700.0,1300.0,3 Bedrooms,3 Bathrooms,No Balcony,Store Room,10 Crore,20th   of 56 Floors,North-East,"Pool,Park/Garden",5 to 10 Year Old,"Indiabulls Blu Worli, Mumbai",Indiabulls Blu,Semifurnished,I81686612,"['Lower Parel Railway Station', 'Phoenix Palladium Mall', 'Eastern Express Hwy', 'Podar ORT International School', 'M D College of Arts, Science & Commerce', 'M. A. Podar Hospital', 'CSM Intl Airport', 'Peninsula Corporate Park', 'Four Seasons Hotel Mumbai', 'Sardar Vallabhbhai Patel Stadium']","['4 Fan', '1 Exhaust Fan', '1 Dining Table', '3 Geyser', '12 Light', '1 Modular Kitchen', '1 Chimney', '3 AC', '1 Curtains']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",4.0,"{'Connectivity': 3.7, 'Green Area': 4.1, 'Amenities': 4.0, 'Management': 4.1, 'Construction': 4.0}",Ready To Move,56.0
Immensa by Kalpataru,"2 BHK House for sale in Kolshet Road, Thane",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-immensa-by-kalpataru-kolshet-road-thane-899-sq-ft-spid-R81303711,₹1.19 Cr,"₹13,236 /sqft",899 sqft,Super Built-up Area,2 BHK,2  Baths,"Immensa by kalpataru is one of the most popular destination for buying apartments/ flats in kolshet road, thane. You too can be a part of this society by purchasing this 2 bhk flat here. This is a east-Facing property. Containing 2 bedroom(s), 2 bathrooms , this flat is spread over a super built up area of 899 sq.Ft. The residential building has 26 floors in total and the flat for sale is locat...",,,,,,,,,,,,,,,,,[],[],[],,{},Ready To Move,57.0
Bathija Siddhivinayak Heights,"2 BHK House for sale in Sector 20 Roadpali, Kalamboli",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-bathija-siddhivinayak-heights-sector-20-kalamboli-mumbai-navi-1170-sq-ft-spid-K81559357,₹90 Lac,"₹7,692 /sqft","1,170 sqft",Super Built-up Area,2 BHK,2  Baths,"Bathija siddhivinayak heights is one of navi mumbai's most sought after destination for apartments and this 2 bhk flat in sector 20 roadpali is your opportunity to be a part of this community. The flat is north-West-Facing. Constructed on a super built up area of 1170 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 3 balconies. The property is located on the 13th floor of a 16 floors t...",,,,,,,,,,,,,,,,,[],[],[],,{},Ready To Move,58.0
SHUBHAM GUNINA,"1 BHK House for sale in Kamothe, Navi Mumbai",https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-kamothe-navi-mumbai-725-sq-ft-r1-spid-P79249181,₹56 Lac,"₹7,500 /sqft",725 sqft,Super Built-up Area,1 BHK,2  Baths,"Road facing 1bhk with masterbedroom apartment for immediate sale...!!! On 20 mtr khandeshwar station main road. One of the best locality of kamothe , next to upcoming international airport, pleasant & peaceful environment , basic needs of life are easily approachable & much more. G + 7 storied residential building, Attractive entrance lobby, Children play area, Common sitting area, Best in clas...",725.0,,,1 Bedroom,2 Bathrooms,3 Balconies,,56 Lac,4th   of 7 Floors,North-East,"Park/Garden,Club,Main Road",Jul 2026,"SHUBHAM GUNINA Kamothe, Navi Mumbai",,Unfurnished,P79249181,"['Khandeshwar metro station', 'shankar mandir', 'buddha vihar', 'ganpanti mandir', 'Hanuman Mandir', 'Khandeshwar Shiva Temple', ""Children's Wellness Clinic"", 'Sai Hospital for Child & Skin Hospital', 'Chirayu kamothe', 'Care and Cure Hospital', 'Jeevan Jyot Hospital', 'Criticare Lifeline Hospital', 'Shree Sangam Multispeciality Hospital', 'Purohit Hospital', 'Shree Sai Multispecialist Hospital', 'Mahatma Gandhi Mission', 'Health gs Hospitals', 'Sai Samarth Hospital Accident & Trauma Care Centre', 'Om Sai Hospital', 'Vihaan Hospital', 'B &J Superspeciality Hospital and Research Centre', 'Kamothe Criticare Hospital', 'Sunrise Multispeciality Hospital', 'Suyash Surgical and Maternity Home', ""Dr. Alat's Sushrut Multispeciality Hospital"", ""Dr Singh's City Hospital and Medical Research Centre"", 'CNG PUMP', 'Axis bank', 'Hindustan bank', 'Bank of inda', 'Idbi bank', 'Apna bank', 'Axis bank', 'aishwarya hotel', 'krishna hotel', 'vimum food', 'Balagi Sweets', 'malvan tadka', 'neelkanth', 'manmohan sweets shop', 'dominos pizza', 'rivar side', 'Mirchi Hotel', 'tawa hotel', 'Watermelon stalls', 'vidi bar', 'Sushma Patil Vidhyalaya', 'New Sudhaghad High School', 'Khandeshwar railway station', 'Khandeshwar railway station']",[],"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting']",4.3,"{'Lifestyle': 4.3, 'Connectivity': 4.3, 'Environment': 4.2, 'Safety': 4.3}",Under Construction,59.0
"Karjat, Thane, Thane Outskirts","2 Bedroom House for sale in Karjat, Thane",https://www.99acres.com/2-bhk-bedroom-farm-house-for-sale-in-karjat-mumbai-beyond-thane-79497-sq-ft-r4-spid-Y71766332,₹3.45 Cr,₹434 /sqft,"79,496 sqft",Plot Area,2 BHK,3  Baths,"73 guntha ready farmhouse with swimming pool for sale in karjat Plot area : 73 guntha Bunglow area : 2 bhk bungalow Swimming pool Caretaker room Ownership : Single owner Resale & title clear property Status : Agriculture Road access : Dambar road Landmark : Towards kadav village Water source : 1 borewell Price : 2.45 cr View : Picturesque view of mountains & greenery Trees : Mango,coconut, jack...",,,,,,,,,,,,,,,,,[],[],[],,{},Ready To Move,60.0
white citys,"2 BHK House for sale in Lokhandwala Kandivali East, Mumbai",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-lokhandwala-kandivali-east-mumbai-andheri-dahisar-845-sq-ft-r3-spid-H71212632,₹2.2 Cr,"₹26,035 /sqft",845 sqft,Carpet Area,2 BHK,2  Baths,"White citys is one of the most popular destination for buying apartments/ flats in lokhandwala kandivali east, mumbai andheri-Dahisar. You too can be a part of this society by purchasing this 2 bhk flat here. The flat is over 845 sq.Ft. Carpet area and comes with 2 bedroom(s), 2 bathrooms and more than 3 balconies. The flat has a total of 40 floors and this property is situated on 34th floor. B...",,,845.0,2 Bedrooms,2 Bathrooms,3+ Balconies,,2.2 Crore,34th   of 40 Floors,North-West,"Main Road,Others",1 to 5 Year Old,"white citys Lokhandwala Kandivali East, Mumbai",,Semifurnished,H71212632,"['Big Bazzar Kandivali', 'Shivling', 'Durga Mata Mandir', 'Hdfc ATM', 'Kotak mahindra bank ATM', 'Shreeji Hospital Kandivli', 'Sai Siddhi Hospital', 'DNA Multispeciality Hospital - Mumbai', 'Jeevan Jyoti Hospital', 'Medha Maternity and Nursing Home - Kandivali E Mumbai', 'Shree Ram Shyam Clinic', 'Sanchaiti Hospital', 'Kairav Nursing Home', 'Kedar Nursing Home', 'Sai Swayam MatandNur Home', 'Gulmohar Eye Clinic', 'Shukla Diagnostic and Healthcare Centre', 'Omm Sai Nursing Home - Kandivali Mumbai', 'Saibaba Maternity and Nursing Home', 'ESIC Hospital', 'Nupur Nursing Home - Kandivli', 'Shraddha Orthopedic and Surgical Hospital', 'Akurli Maternity Home', 'Dhiraj Hospital', 'Raj Nursing Home Mumbai', 'Gokul Hospital Mumbai', 'Laxmi Clinic - Kandivli - Mumbai', 'Apollo', 'Samata Nagar', 'Thakur Miraj Cinemas', 'Bank of maharashtra', 'Hdfc bank', 'Canara bank', 'Yes bank', 'Icici bank', 'Saraswat bank', 'Svc bank', 'Ing bank', 'Kotak mahindra bank', 'Jai Mata Di Tea Stall', 'Avenue Hotel', 'Growels', 'cafe ameyzing', 'Pizza Hut', 'Cafe Coffee Day', ""McDonald's"", 'St. Joseph High School', 'Sharda Gyanpeeth International School', 'St. George High School', 'Bid Detail']","['4 Fan', '1 Exhaust Fan', '6 Light', '3 AC', '1 Modular Kitchen']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Fitness Centre / GYM', 'Club house / Community Center']",4.3,"{'Lifestyle': 4.3, 'Connectivity': 4.3, 'Environment': 4.2, 'Safety': 4.3}",Ready To Move,61.0
Lodha Splendora,"2 BHK House for sale in Ghodbunder Road, Thane",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-lodha-splendora-ghodbunder-road-mumbai-thane-1250-sq-ft-r20-spid-J39987971,₹84 Lac,"₹8,096 /sqft","1,250 sqft",Super Built-up Area,2 BHK,2  Baths,"This is a property where you can feel the nature and pollution free environment while enjoying your homes in thane city, it provides you good ambience surrounded with nature and peace. It comes with all basic amenities like garden, play court, children play area & many more, flat is very well maintained which includes modular kitchen, wardrobes, & etc. It comes with all luxurios amenities like ...",1250.0,1150.0,707.0,2 Bedrooms,2 Bathrooms,1 Balcony,Store Room,84 Lac,18th   of 31 Floors,East,"Main Road,Park/Garden",1 to 5 Year Old,"Lodha Splendora Ghodbunder Road, Thane",Lodha Splendora,Semifurnished,J39987971,"['Thane Railway Station', 'Kapurbawdi Metro Station', 'Big Centre Thane', 'NH 48', 'DG International School', 'Aarav Muchhala Junior College', 'Brahmand Multispeciality Hospital', 'CSM International Airport', 'Thaneone Corporate Business IT Park', 'Suraj Water Park', 'Golden Swan Country Club', 'Dadoji Kondadev Stadium', 'Seashore New Point']","['5 Fan', '5 Light']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant']",4.2,"{'Connectivity': 4.1, 'Green Area': 4.5, 'Amenities': 4.4, 'Management': 3.9, 'Construction': 3.9}",Ready To Move,62.0
On request,"3 BHK House for sale in Juhu Tara, Mumbai",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-juhu-tara-western-mumbai-1731-sq-ft-spid-F80620879,₹7.5 Cr,"₹43,327 /sqft","1,731 sqft",Super Built-up Area,3 BHK,3  Baths,"Situated in juhu tara, western mumbai, on request is a well planned society that offers a pleasant living experience to its residents. This 3 bhk flat in western mumbai is your opportunity to be a part of this community. This residential flat is east-Facing direction. The flat is over 1731 sq.Ft. Super built up area and comes with 3 bedroom(s), 3 bathrooms . This flat is situated on the 3rd flo...",,,,,,,,,,,,,,,,,[],[],[],,{},Ready To Move,63.0
Park Pallazzo,"2 BHK House for sale in Hindu Colony, Dadar",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-park-pallazzo-hindu-colony-mumbai-south-865-sq-ft-r1-spid-P79445235,₹4.6 Cr,"₹53,107 /sqft",866 sqft,Carpet Area,2 BHK,2  Baths,"This 2 bhk apartment is available for sale in park pallazzo, one of the most prominent projects for flats in hindu colony, mumbai south. This residential flat is north-Facing direction. The floor plan additionally contains 2 bedroom(s), 2 bathrooms . All in all, the flat is spread over a carpet area of 80 sq.M. The property is located on the 14th floor of a 23 floors tall building. Being a read...",,,80.47,2 Bedrooms,2 Bathrooms,No Balcony,Others,4.6 Crore,14th   of 23 Floors,North,Main Road,1 to 5 Year Old,"Park Pallazzo Hindu Colony, Dadar",Park Pallazzo,Unfurnished,P79445235,"['Indian bank ATM', ""Dr Khandeparkar's Nursing Home"", 'Laud Clinic', 'Insight Eye Clinic', 'Krishna Cardiac Care Centre Mumbai', 'Shrikhande Clinic Mumbai', 'Ashirvad Clinic Dr.Vandana Walvekar', 'Shree Samarth Nursing Home', 'Arthroscopy and Sports Medicine Institute', 'Icon The Eye Consultants Eye and Laser Centre', 'Siddhamrut Clinic', 'Akshi Eye Centre', 'Dr V T Shah Diagnostic Centre and Clinic', 'Dr.Chhatres Maternity and Surgical Nursing Home', 'Lions Club Of East Bombay', 'Rajendra Clinic', 'Junaid Clinic', 'G S B S Medical Trust', 'Thyrocare Aarogyam Center - Dadar West', 'Pa Pa Pagli Kala Kendra', 'Noble Chemist', 'Wadala Depot', 'Snow Point', 'Cafe Gulshan', 'Cafe Bogeto', ""Mani's Cafe"", 'Sharda Bhavan', ""A Rama Nayak's Shrikrishna Boarding"", 'Cafe Coffee Day CCD', 'Bhaji', 'Gomantak Boarding House', 'Ram Ashray South Indian', 'Anna Coffee', 'Mawali Bhai Dosa', 'Patkar Guruji Vidyalaya', 'Little More Pre School', 'Saraswati Mandir School', 'Shishuvihar Madhyamik Vidhyala', 'Tarabai Modak Pre Primary English Medium School', 'Ramnarain Ruia College', 'Tree House Play Group', 'The Dadar Parsee Youths Assembly High School', 'MCGM L K Waghji Mumbai Public School', 'Veermata Jijabai Technological Institute', 'Dadar western railway station', 'Dadar east railway station', 'Dadar central railway station', 'Matunga railway station', 'Dadar railway station', 'Matunga road railway station']",[],"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']",3.9,"{'Lifestyle': 3.9, 'Connectivity': 4.0, 'Environment': 3.8, 'Safety': 3.9}",Ready To Move,64.0
Oberoi Esquire,"3 BHK House for sale in Goregaon East, Mumbai",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-oberoi-esquire-goregaon-east-mumbai-andheri-dahisar-2190-sq-ft-spid-U81334279,₹8.34 Cr,"₹38,082 /sqft","2,190 sqft",Super Built-up Area,3 BHK,3  Baths,"This 3 bhk apartment is available for sale in oberoi esquire, one of the most prominent projects for flats in goregaon east, western mumbai. This residential flat is north-East-Facing direction. The floor plan additionally contains 3 bedroom(s), 3 bathrooms . All in all, the flat is spread over a super built up area of 2190 sq.Ft. This flat lies on the 30th level of a 59 storey building. An add...",2190.0,1750.0,1367.0,3 Bedrooms,3 Bathrooms,No Balcony,Store Room,8.34 Crore,30th   of 59 Floors,North-East,"Park/Garden,Main Road",1 to 5 Year Old,"Oberoi Esquire Goregaon East, Mumbai",Oberoi Esquire,Semifurnished,U81334279,"['Goregaon Railway Station', 'Aarey Metro station', 'Oberoi Mall', 'Aba Karmarkar Road', 'Mohan Gokhale Road', 'Western Express Hwy', 'Oberoi International School - OGC Campus', 'VIBGYOR High School, Malad East', 'Balajee Hospital', 'CSM Intl Airport', 'Commerz II', 'Eco star Goregaon East', 'Nirlon Knowledge Park', 'The Westin Mumbai Garden City']","['3 Wardrobe', '5 Fan', '1 Exhaust Fan', '3 Geyser', '12 Light', '1 Modular Kitchen', '5 AC', '1 Curtains']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",4.2,"{'Connectivity': 4.1, 'Green Area': 4.3, 'Amenities': 4.2, 'Management': 4.1, 'Construction': 4.1}",Ready To Move,65.0
Gurukrupa Marina Enclave,"2 BHK House for sale in Jankalyan Nagar, Malad West",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-gurukrupa-marina-enclave-jankalyan-nagar-mumbai-andheri-dahisar-650-sq-ft-r6-spid-R72710959,₹1.5 Cr,"₹23,076 /sqft",650 sqft,Carpet Area,2 BHK,2  Baths,"Ready to move 2 bhk apartment for sale in marina atlantic & pacific, a popular residential project that houses in-Demand flats in jankalyan nagar, mumbai andheri-Dahisar. The flat is west-Facing. Constructed on a carpet area of 650 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms . The flat has a total of 35 floors and this property is situated on 20th floor. As the property is currently un...",,,,,,,,,,,,,,,,,[],[],[],,{},Ready To Move,66.0
Kohinoor Altissimo,"3 BHK House for sale in Dadar West, Mumbai",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-kohinoor-altissimo-dadar-west-south-mumbai-2000-sq-ft-r10-spid-R55157636,₹8.75 Cr,"₹59,645 /sqft","2,000 sqft",Built-up Area,3 BHK,4  Baths,"3 bhk flat is available in the promising locality of dadar (West), mumbai south. It is an spacious flat and is located on 15th floor. Every single detail of the flat is carefully designed. It provides a spectacular view of the park/garden.Has marble flooring. 2 covered parking. Full power back up. 24x7 water supply from municipal corporation. Additional details : Piped gas facility is available...",,2000.0,1467.0,3 Bedrooms,4 Bathrooms,1 Balcony,,8.75 Crore,17th   of 32 Floors,North-West,Park/Garden,1 to 5 Year Old,"Kohinoor Altissimo Dadar West, Mumbai",Kohinoor Altissimo,Unfurnished,R55157636,"['SBI ATM', 'ICICI Bank ATM', 'PNB ATM', 'HDFC Bank ATM', 'UCO Bank ATM', 'Thakur Hospital', 'Diwan Hospital', 'Sangli Hospital', 'Hinduja Hospital OPD', 'Pai Hospital', 'Macchali restaurant', 'Flavours of China', 'Cafe Trofima', 'Barbecue nation', 'Zhen CHinese Corner']",[],"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'Water Storage', 'Piped-gas', 'Swimming Pool', 'Park', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",4.3,"{'Lifestyle': 4.3, 'Connectivity': 4.4, 'Environment': 4.0, 'Safety': 4.2}",Ready To Move,67.0
Bliss Kasa,"2 BHK House for sale in Dadar West, Mumbai",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-dadar-west-south-mumbai-525-sq-ft-r1-spid-P78211297,₹2.8 Cr,"₹53,333 /sqft",525 sqft,Carpet Area,2 BHK,2  Baths,"This 2 bhk apartment is available for sale in bliss kasa, one of the most prominent projects for flats in dadar west, mumbai south. This residential flat is west-Facing direction. The floor plan additionally contains 2 bedroom(s), 2 bathrooms . All in all, the flat is spread over a carpet area of 525 sq.Ft. The residential building has 22 floors in total and the flat for sale is located on the ...",,,,,,,,,,,,,,,,,[],[],[],,{},Ready To Move,68.0
Kalpataru Siddhachal Elegance,"4 BHK House for sale in Vasant Vihar, Thane West",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-vasant-vihar-mumbai-thane-2450-sq-ft-r2-spid-N78673805,₹4.75 Cr,"₹19,387 /sqft","2,450 sqft",Super Built-up Area,4 BHK,3  Baths,"Developed by kalpatru it is one of the finest location surronded by natural greenery it is 27 acres of town ship with wonder full layout . This beautiful 4.5 bhk flat in vasant vihar, thane is situated in kalpataru siddhachal , one of the popular residential society in thane. The flat has a total of 14 floors and this property is situated on 10th floor. This 5-10 years old property is available...",2450.0,1900.0,1750.0,4 Bedrooms,3 Bathrooms,No Balcony,Pooja Room,4.75 Crore,10th   of 15 Floors,West,"Park/Garden,Club,Pool",5 to 10 Year Old,"Kalpataru Siddhachal Elegance Vasant Vihar, Thane West",,Semifurnished,N78673805,"['nilkanteshwar mandir', 'Ganesh Temple Upvan', 'Icici bank ATM', ""Dr. Ravi's Clinic Nursing Home and New Born Centre"", 'The Origin International Fertility Centre', 'Bethany Hospital', 'Sparsh Maternity and Nursing Home', 'Care and Cure Clinic', 'Cosmodent Dental Centre', 'Trupti Hospital - Thane', 'Smiles Unlimited Dental Clinic', 'Shri Gajanan Netralaya', 'Dentales', 'Derma Villa', 'Fortizz Dental Clinic', 'A1 chemist', 'Wellness Forever 24Hrs open', 'Kailash', 'New india bank', 'Oriental bank of commerce', 'Yes bank', 'Tjsb sahakari bank', 'Standard chartered bank', 'Central bank of india', 'Cinemax -WonderMall', 'Little Bite Pav Bhaji', 'RB Rolls', 'Yello', 'Food For Foodies', 'Shahi Kolkata Roll', 'Shwarmaji', 'Katty Rolls', 'Sai Vihar Family Restaurant & Bar', 'The Kitchen', ""Chap's Tasty Chinese"", 'Biryani Binge', 'SD Foods', 'Ajay Tandoor Corner', 'Veg Sizzlers', ""De'Crepes Cafe"", 'China Bristo', 'Riviera', 'Maple Restobar', 'Kalpataru school of art', 'anmol vidhya mandir school', 'Little Flower High School', 'Rainbow International School', 'Rhyme N Colours PReschool', 'Raunak Group', 'Choankar library']","['1 Water Purifier', '3 Fan', '1 Exhaust Fan', '3 Geyser', '1 Stove', '4 Light', '2 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '2 Bed', '1 Microwave']","['Water purifier', 'Centrally Air Conditioned', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",4.3,"{'Lifestyle': 4.4, 'Connectivity': 4.2, 'Environment': 4.1, 'Safety': 4.3}",Ready To Move,69.0
aashirwad building,"3 BHK House for sale in Andheri West, Mumbai",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-andheri-west-mumbai-andheri-dahisar-1350-sq-ft-spid-N81507623,₹5.5 Cr,"₹40,740 /sqft","1,350 sqft",Super Built-up Area,3 BHK,3  Baths,"Looking for a 3 bhk property for sale in western mumbai? Buy this 3 bhk flat in aashirwad building that is situated in andheri west, western mumbai. This is a east-Facing property. Containing 3 bedroom(s), 3 bathrooms and 3 balconies, this flat is spread over a super built up area of 1350 sq.Ft. This flat is situated on the 4th floor of this 21 floors tall residential building. This 1-5 years o...",,,,,,,,,,,,,,,,,[],[],[],,{},Ready To Move,70.0
Shree Anandi Imperial,"1 BHK House for sale in Dombivli East, Thane",https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-shree-anandi-imperial-dombivli-east-mumbai-beyond-thane-481-sq-ft-npspid-C81415921,₹39 Lac,"₹8,108 /sqft",481 sqft,Carpet Area,1 BHK,,"Shree Anandi Imperial offers 1 BHK flats in Dombivli East, Thane Outskirts. These are an under construction flats. There are a total of 2 towers in the project. The project is a nicely designed and offers an excellent infrastructure to the residents. It spreads across a carpet area of 481.0 sq. ft. You can now get it for Rs. 39 Lac. Shree Anandi Imperial offers inclusion of essential amenities ...",,,,,,,,,,,,,,,,C81415921,"['Dombivli, Station', 'Metro Junction Mall', 'Vidya Niketan School', 'GR patil college', 'ICON Hospital', 'Chhatrapati Shivaji Airport', 'BK Waterpark', 'LODHA Golflinks']",[],[],4.2,"{'Lifestyle': 4.1, 'Connectivity': 4.3, 'Environment': 4.0, 'Safety': 4.2}",Under Construction,71.0
Cosmos Heritage,"2 BHK House for sale in Manpada, Thane",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-cosmos-heritage-manpada-mumbai-thane-963-sq-ft-spid-K81069299,₹1.32 Cr,"₹13,707 /sqft",963 sqft,Super Built-up Area,2 BHK,2  Baths,"This 2 bhk flat is located in cosmos heritage, which houses some of the most spacious flats in manpada, thane. The flat is east-Facing. The floor plan additionally contains 2 bedroom(s), 2 bathrooms . All in all, the flat is spread over a super built up area of 963 sq.Ft. The flat has a total of 14 floors and this property is situated on 10th floor. As the project is already ready to move, so y...",,,,,,,,,,,,,,,,,[],[],[],,{},Ready To Move,72.0
"Kasheli, Thane","House for sale in Kasheli, Thane",https://www.99acres.com/residential-land-plot-for-sale-in-kasheli-thane-121-sq-yard-spid-J80344101,₹5.23 Lac,₹480 /sqft,"1,089 sqft",Plot Area,Plot/Land,,"Unlock your dream land with zaminwale premium na plots in mahamumbai! Looking for the perfect investment in land? Zaminwale offers prime na plots in the rapidly developing regions of mahamumbai, panvel, and thane, strategically located near the upcoming navi mumbai international airport. Key connectivity advantages: Seamless transport access Mumbai trans harbour link (Mthl) swift connectivity t...",,,,,,,,,,,,,,,,,[],[],[],,{},Ready To Move,73.0
Jeden,"1 BHK House for sale in Chembur East, Mumbai",https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-chembur-east-central-mumbai-546-sq-ft-r2-spid-L78483737,₹95 Lac,"₹24,358 /sqft",546 sqft,Super Built-up Area,1 BHK,2  Baths,"Situated in chembur east, central mumbai, jeden is a well planned society that offers a pleasant living experience to its residents. This 1 bhk flat in central mumbai is your opportunity to be a part of this community. This is a west-Facing property. Containing 1 bedroom(s), 2 bathrooms , this flat is spread over a super built up area of 546 sq.Ft. The property is located on the 7th floor of a ...",,,,,,,,,,,,,,,,,[],[],[],,{},Ready To Move,74.0
Palm Amore,"4 BHK House for sale in Seawoods, Navi Mumbai",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-palm-amore-sea-woods-navi-mumbai-3395-sq-ft-spid-E81702230,₹4.05 Cr,"₹11,929 /sqft","3,395 sqft",Super Built-up Area,4 BHK,4  Baths,"Looking for a 4 bhk property for sale in navi mumbai? Buy this 4 bhk flat in palm amore that is situated in seawoods, navi mumbai. The flat is east-Facing. The floor plan additionally contains 4 bedroom(s), 4 bathrooms and more than 3 balconies. All in all, the flat is spread over a super built up area of 3395 sq.Ft. The property is located on the 13th floor of a 15 floors tall building. As the...",,,,,,,,,,,,,,,,,[],[],[],,{},Under Construction,75.0
"Vindhane, Navi Mumbai","House for sale in Vindhane, Navi Mumbai",https://www.99acres.com/residential-land-plot-for-sale-in-vindhane-navi-mumbai-121-sq-yard-spid-B80020685,₹4.1 Lac,₹376 /sqft,"1,089 sqft",Plot Area,Plot/Land,,"Unlock your dream land with zaminwale premium na plots in mahamumbai! Looking for the perfect investment in land? Zaminwale offers prime na plots in the rapidly developing regions of mahamumbai, panvel, and thane, strategically located near the upcoming navi mumbai international airport. Key connectivity advantages: Seamless transport access Mumbai trans harbour link (Mthl) swift connectivity t...",,,,,,,,4.1 Lac,,North-East,,,North-East,,,B80020685,[],[],"['Maintenance Staff', 'Water Storage']",,{},Ready To Move,76.0
